Nombre;Hora;MomentoInt;Tokens;Cost
eda01;13:58:58;65;225;0
eda02;13:53:14;59;225;0
eda03;13:39:24;46;201;0
eda04;14:08:16;74;177;0
iua-10;12:10:31;79;271;0
iua-12;11:59:06;66;240;0
iua-2;11:45:14;54;272;1
iua-3;11:39:31;48;252;0
iua-4;11:34:26;44;270;1
iua-5;11:36:34;46;309;1
iua-6;11:47:37;57;223;0
iua-9;11:41:21;50;209;0
iub-2;11:58:37;69;386;1
iub-4;11:23:52;35;211;1
iub-5;11:45:08;56;172;0
iub-6;11:14:50;26;123;0
iub-7;11:33:02;44;112;0
mtpg1a-01;13:48:17;63;192;1
mtpg1a-02;13:47:29;61;141;1
mtpg1b-01;13:16:29;29;124;1
mtpg1b-02;13:19:52;38;129;1
mtpg1b-03;13:25:05;38;110;1
mtpg1b-04;13:26:50;42;129;1
mtpg1c-01;14:06:40;27;192;1
mtpg1c-02;14:23:35;45;154;1
mtpg1c-03;14:19:48;41;152;1
mtpg1c-04;14:25:58;47;136;1
mtpg2a-01;12:10:02;60;141;1
mtpg2a-03;12:13:46;62;158;1
mtpg2a-04;12:09:34;56;158;1
mtpg2a-05;11:50:43;39;118;0
mtpg2b-01;11:57:58;43;136;1
mtpg2b-02;12:04:57;51;135;1
mtpg2b-04;11:53:53;39;106;1
mtpg2b-05;12:03:38;48;82;0
mtpg2b-06;11:55:09;40;156;1
mtpg2c-01;12:31:09;87;147;1
mtpg2c-02;13:00:28;109;150;0
mtpg2c-04;12:21:24;70;160;1
mtpg2c-05;12:55:13;99;158;1
mtpg2c-06;12:39:14;88;178;0
mtpg3a-02;10:36:02;47;138;1
mtpg3a-03;10:37:33;49;167;1
mtpg3a-04;10:32:09;43;27;1
mtpg3b-01;10:04:49;27;121;1
mtpg3b-02;10:16:06;38;141;1
mtpg3b-03;10:15:48;37;129;1
mtpg3b-04;10:11:45;33;129;1
mtpg3c-01;10:42:39;17;145;1
mtpg3c-02;10:49:21;23;162;0
mtpg3c-03;10:42:40;17;160;1
mtpg3c-04;10:47:22;22;173;0
mtpg4a-01;19:07:11;72;155;1
mtpg4a-02;19:00:09;65;106;0
mtpg4a-03;19:02:04;68;92;0
mtpg4a-04;18:59:20;66;86;0
mtpg4a-05;18:51:48;58;156;1
mtpg4a-06;18:57:48;64;69;0
mtpg4b-01;18:33:15;51;50;1
mtpg4b-02;18:30:54;52;137;1
mtpg4b-03;18:31:29;50;142;1
mtpg4b-04;18:30:23;39;122;1
mtpg4b-05;18:31:05;37;97;1
mtpg4b-06;18:30:38;51;86;1
mtpg4c-01;19:26:17;106;144;1
mtpg4c-02;19:23:37;94;146;1
mtpg4c-03;19:25:01;102;203;1
mtpg4c-04;19:06:38;88;145;0
mtpg4c-05;19:20:11;100;128;1
mtpg4c-06;19:22:43;34;133;0
sca-01;12:25:03;63;276;0
sca-02;12:25:41;63;248;0
sca-03;12:25:53;64;752;0
sca-04;12:25:54;64;379;0
sca-05;12:27:14;65;724;0
sca-06;12:25:30;63;281;0
sca-07;12:25:43;64;382;0
sca-08;12:25:48;63;245;0
sca-09;12:25:37;64;1437;1
sca-10;12:24:16;62;760;1
scb-01;12:22:14;85;321;0
scb-02;12:21:24;84;541;0
scb-03;12:24:04;87;1008;1
scb-04;12:22:14;85;415;0
scb-05;12:22:34;86;699;1
scb-06;12:23:12;86;616;0
scb-07;12:22:15;85;370;0
scb-08;12:16:03;79;378;0
scb-09;12:05:42;69;1318;1
scb-10;12:21:54;85;1359;1
scc-01;12:24:56;83;731;1
scc-02;12:24:00;82;501;1
scc-03;12:25:42;84;715;0
scc-04;12:30:04;89;630;1
scc-05;12:26:25;85;692;0
scc-07;12:25:10;83;636;0
scc-08;12:25:32;84;555;0
scc-09;12:28:25;87;1504;1
scc-10;12:28:45;87;665;1
