Nombre;Hora;MomentoInt;Linea;LineaFinal;Cost
eda01;13:58:58;65;41;41;0
eda02;13:53:14;59;38;38;0
eda03;13:39:24;46;34;34;0
eda04;14:08:16;74;35;35;0
edb01;20:23:30;146;76;76;1
iua-10 ;12:10:31;79;51;51;0
iua-12 ;11:59:06;66;44;44;0
iua-2  ;11:45:14;54;58;58;1
iua-3  ;11:39:31;48;48;48;0
iua-4  ;11:34:26;44;57;57;1
iua-5  ;11:36:34;46;55;55;1
iua-6  ;11:47:37;57;41;41;0
iua-9  ;11:41:21;50;40;40;0
iub-2;11:58:37;69;71;71;1
iub-4;11:23:52;35;55;55;1
iub-5;11:45:08;56;39;39;0
iub-6;11:14:50;26;24;24;0
iub-7;11:33:02;44;25;25;0
mtpg1a-01;13:48:17;63;35;35;1
mtpg1a-02;13:45:36;59;29;29;1
mtpg1a-02;13:47:29;61;29;29;1
mtpg1b-01;13:02:05;15;32;28;1
mtpg1b-01;13:03:25;16;32;28;1
mtpg1b-01;13:05:49;19;32;28;1
mtpg1b-01;13:16:29;29;28;28;1
mtpg1b-02;13:17:56;36;26;26;1
mtpg1b-02;13:19:52;38;26;26;1
mtpg1b-03;13:20:09;33;24;25;1
mtpg1b-03;13:25:05;38;25;25;1
mtpg1b-04;13:15:41;31;31;33;1
mtpg1b-04;13:26:50;42;33;33;1
mtpg1c-01;13:57:24;18;41;42;1
mtpg1c-01;14:06:40;27;42;42;1
mtpg1c-02;14:19:04;40;32;32;1
mtpg1c-02;14:23:35;45;32;32;1
mtpg1c-03;14:02:44;24;27;29;1
mtpg1c-03;14:19:48;41;29;29;1
mtpg1c-04;14:07:37;28;28;31;1
mtpg1c-04;14:25:58;47;31;31;1
mtpg2a-01;12:10:02;60;31;31;1
mtpg2a-03;11:46:36;35;37;41;1
mtpg2a-03;12:13:46;62;41;41;1
mtpg2a-04;11:29:26;15;25;28;1
mtpg2a-04;12:09:34;56;28;28;1
mtpg2a-05;11:50:43;39;27;27;0
mtpg2b-01;11:32:29;18;31;33;1
mtpg2b-01;11:52:30;38;32;33;1
mtpg2b-01;11:57:58;43;33;33;1
mtpg2b-02;12:04:57;51;38;38;1
mtpg2b-04;11:52:03;37;21;21;1
mtpg2b-04;11:53:53;39;21;21;1
mtpg2b-05;12:03:38;48;16;16;0
mtpg2b-06;11:55:09;40;37;37;1
mtpg2c-01;12:25:03;81;29;29;1
mtpg2c-01;12:31:09;87;29;29;1
mtpg2c-02;13:00:28;109;33;33;0
mtpg2c-04;11:56:54;46;29;29;1
mtpg2c-04;12:21:24;70;29;29;1
mtpg2c-05;12:40:37;84;28;30;1
mtpg2c-05;12:49:53;94;30;30;1
mtpg2c-05;12:55:13;99;30;30;1
mtpg2c-06;12:39:14;88;37;37;0
mtpg3a-02;10:36:02;47;32;32;1
mtpg3a-03;10:37:33;49;31;31;1
mtpg3a-04;10:11:22;22;13;10;1
mtpg3a-04;10:24:44;35;15;10;1
mtpg3a-04;10:32:09;43;10;10;1
mtpg3b-01;9:57:36;19;25;25;1
mtpg3b-01;10:04:49;27;25;25;1
mtpg3b-02;10:16:06;38;29;29;1
mtpg3b-03;10:15:48;37;30;30;1
mtpg3b-04;10:02:15;23;22;28;1
mtpg3b-04;10:11:45;33;28;28;1
mtpg3c-01;10:30:16;4;35;30;1
mtpg3c-01;10:42:39;17;30;30;1
mtpg3c-02;10:49:21;23;36;36;0
mtpg3c-03;10:35:18;9;29;29;1
mtpg3c-03;10:42:40;17;29;29;1
mtpg3c-04;10:47:22;22;29;29;0
mtpg4a-01;19:05:42;71;30;30;1
mtpg4a-01;19:07:11;72;30;30;1
mtpg4a-02;19:00:09;65;18;18;0
mtpg4a-03;19:02:04;68;21;21;0
mtpg4a-04;18:59:20;66;20;20;0
mtpg4a-05;18:32:36;39;45;44;1
mtpg4a-05;18:38:23;45;44;44;1
mtpg4a-05;18:51:48;58;44;44;1
mtpg4a-06;18:57:48;64;14;14;0
mtpg4b-01;18:31:37;50;15;13;1
mtpg4b-01;18:33:15;51;13;13;1
mtpg4b-02;18:30:54;52;34;34;1
mtpg4b-03;18:29:28;48;34;34;1
mtpg4b-03;18:31:29;50;34;34;1
mtpg4b-04;18:13:06;22;29;30;1
mtpg4b-04;18:30:23;39;30;30;1
mtpg4b-05;18:31:05;37;26;26;1
mtpg4b-06;18:30:38;51;28;28;1
mtpg4c-01;19:03:02;83;36;37;1
mtpg4c-01;19:26:17;106;37;37;1
mtpg4c-02;19:08:04;79;38;35;1
mtpg4c-02;19:23:37;94;35;35;1
mtpg4c-03;19:18:57;96;42;42;1
mtpg4c-03;19:19:38;96;42;42;1
mtpg4c-03;19:25:01;102;42;42;1
mtpg4c-04;19:06:38;88;34;34;0
mtpg4c-05;18:52:42;73;39;41;1
mtpg4c-05;19:16:40;97;41;41;1
mtpg4c-05;19:20:11;100;41;41;1
mtpg4c-06;19:22:43;34;31;31;0
sca-01;12:25:03;63;56;56;0
sca-02;12:25:41;63;84;84;0
sca-03;12:25:53;64;182;182;0
sca-04;12:25:54;64;121;121;0
sca-05;12:27:14;65;191;191;0
sca-06;12:25:30;63;68;68;0
sca-07;12:25:43;64;82;82;0
sca-08;12:25:48;63;69;69;0
sca-09;11:40:23;18;194;284;1
sca-09;12:25:37;64;284;284;1
sca-10;12:24:16;62;156;156;1
scb-01;11:17:03;20;27;70;0
scb-01;12:22:14;85;70;70;0
scb-02;12:21:24;84;94;94;0
scb-03;12:24:04;87;192;192;1
scb-04;12:22:14;85;97;97;0
scb-05;12:22:34;86;141;141;1
scb-06;12:23:12;86;168;168;0
scb-07;12:22:15;85;122;122;0
scb-08;11:11:32;14;15;90;0
scb-08;12:16:03;79;90;90;0
scb-09;12:05:42;69;262;262;1
scb-10;12:21:54;85;270;270;1
scc-01;12:14:47;73;194;194;1
scc-01;12:24:56;83;194;194;1
scc-02;11:12:55;11;69;164;1
scc-02;11:52:16;51;113;164;1
scc-02;12:24:00;82;164;164;1
scc-03;12:25:42;84;222;222;0
scc-04;11:43:50;42;130;204;1
scc-04;12:30:04;89;204;204;1
scc-05;12:26:25;85;181;181;0
scc-07;12:25:10;83;207;207;0
scc-08;12:25:32;84;166;166;0
scc-09;12:28:25;87;373;373;1
scc-10;11:11:39;10;114;144;1
scc-10;12:28:45;87;144;144;1
