Nombre;Hora;Accuracy;Difficulty;Cost;WellFormed;Validity;Experimentability;MomentoInt;Quality
eda01;13:58:58;1;0;0;1;1;0;65;1
eda02;13:53:14;1;0;0;1;1;0;59;1
eda03;13:39:24;0;0;0;1;1;0;46;1
eda04;14:08:16;0;0;0;1;1;0;74;0
iua-10 ;12:10:31;0;0;0;1;1;0;79;1
iua-12 ;11:59:06;0;0;0;0;0;0;66;0
iua-2  ;11:45:14;1;0;1;1;1;0;54;0
iua-3  ;11:39:31;1;0;0;1;1;1;48;1
iua-4  ;11:34:26;1;0;1;1;1;1;44;1
iua-5  ;11:36:34;1;0;1;1;1;1;46;1
iua-6  ;11:47:37;1;0;0;1;1;1;57;1
iua-9  ;11:41:21;0;0;0;1;1;0;50;1
iub-2;11:58:37;0;0;1;1;1;0;69;0
iub-4;11:23:52;0;0;1;1;0;0;35;0
iub-5;11:45:08;1;0;0;1;1;0;56;0
iub-6;11:14:50;1;0;0;1;1;0;26;1
iub-7;11:33:02;1;0;0;1;1;0;44;1
mtpg1a-01;13:48:17;0;0;1;1;1;0;63;1
mtpg1a-02;13:47:29;0;0;1;0;0;0;61;0
mtpg1b-01;13:16:29;1;0;1;1;1;0;29;0
mtpg1b-02;13:19:52;1;0;1;1;1;0;38;0
mtpg1b-03;13:25:05;1;0;1;1;1;0;38;1
mtpg1b-04;13:26:50;1;0;1;1;1;0;42;1
mtpg1c-01;14:06:40;1;0;1;1;1;0;27;1
mtpg1c-02;14:23:35;0;0;1;1;1;0;45;1
mtpg1c-03;14:19:48;0;0;1;1;1;0;41;1
mtpg1c-04;14:25:58;1;0;1;1;1;0;47;1
mtpg2a-01;12:10:02;1;0;1;1;1;0;60;1
mtpg2a-03;12:13:46;0;0;1;1;1;0;62;1
mtpg2a-04;12:09:34;1;0;1;1;1;0;56;1
mtpg2a-05;11:50:43;0;0;0;1;1;0;39;1
mtpg2b-01;11:57:58;1;0;1;1;1;1;43;1
mtpg2b-02;12:04:57;0;0;1;1;1;0;51;1
mtpg2b-04;11:53:53;1;0;1;1;1;0;39;0
mtpg2b-05;12:03:38;0;0;0;0;0;0;48;0
mtpg2b-06;11:55:09;1;0;1;1;1;0;40;0
mtpg2c-01;12:31:09;1;0;1;1;1;0;87;0
mtpg2c-02;13:00:28;0;0;0;1;1;0;109;1
mtpg2c-04;12:21:24;1;0;1;1;1;0;70;1
mtpg2c-05;12:55:13;1;0;1;1;1;0;99;1
mtpg2c-06;12:39:14;1;0;0;1;1;0;88;1
mtpg3a-02;10:36:02;0;0;1;0;0;0;47;0
mtpg3a-03;10:37:33;0;0;1;0;1;0;49;1
mtpg3a-04;10:32:09;0;0;1;1;1;0;43;1
mtpg3b-01;10:04:49;1;0;1;1;1;0;27;0
mtpg3b-02;10:16:06;0;0;1;1;1;1;38;1
mtpg3b-03;10:15:48;1;0;1;1;1;0;37;1
