Nombre;Hora;WellFormed;MomentoInt;Restricciones Chat;Validity
eda01;13:58:58;1;65;1;1
eda02;13:53:14;1;59;1;1
eda03;13:39:24;1;46;1;1
eda04;14:08:16;1;74;1;1
edb01;20:23:30;1;146;1;1
iua-10 ;12:10:31;1;79;0;1
iua-12 ;11:59:06;0;66;1;0
iua-2  ;11:45:14;1;54;1;1
iua-3  ;11:39:31;1;48;1;1
iua-4  ;11:34:26;1;44;1;1
iua-5  ;11:36:34;1;46;0;1
iua-6  ;11:47:37;1;57;1;1
iua-9  ;11:41:21;1;50;1;1
iub-2;11:58:37;1;69;1;1
iub-4;11:23:52;1;35;0;0
iub-5;11:45:08;1;56;0;1
iub-6;11:14:50;1;26;1;1
iub-7;11:33:02;1;44;1;1
mtpg1a-01;13:48:17;1;63;0;1
mtpg1a-02;13:45:36;0;59;0;0
mtpg1a-02;13:47:29;0;61;0;0
mtpg1b-01;13:02:05;1;15;1;1
mtpg1b-01;13:03:25;1;16;1;1
mtpg1b-01;13:05:49;1;19;0;1
mtpg1b-01;13:16:29;1;29;0;1
mtpg1b-02;13:17:56;1;36;0;1
mtpg1b-02;13:19:52;1;38;1;1
mtpg1b-03;13:20:09;1;33;1;1
mtpg1b-03;13:25:05;1;38;1;1
mtpg1b-04;13:15:41;1;31;1;1
mtpg1b-04;13:26:50;1;42;1;1
mtpg1c-01;13:57:24;1;18;1;1
mtpg1c-01;14:06:40;1;27;1;1
mtpg1c-02;14:19:04;1;40;0;1
mtpg1c-02;14:23:35;1;45;1;1
mtpg1c-03;14:02:44;1;24;1;1
mtpg1c-03;14:19:48;1;41;1;1
mtpg1c-04;14:07:37;1;28;0;1
mtpg1c-04;14:25:58;1;47;1;1
mtpg2a-01;12:10:02;1;60;0;1
mtpg2a-03;11:46:36;1;35;0;1
mtpg2a-03;12:13:46;1;62;1;1
mtpg2a-04;11:29:26;1;15;1;1
mtpg2a-04;12:09:34;1;56;0;1
mtpg2a-05;11:50:43;1;39;0;1
mtpg2b-01;11:32:29;1;18;1;1
mtpg2b-01;11:52:30;1;38;1;1
mtpg2b-01;11:57:58;1;43;1;1
mtpg2b-02;12:04:57;1;51;1;1
mtpg2b-04;11:52:03;1;37;0;1
mtpg2b-04;11:53:53;1;39;1;1
mtpg2b-05;12:03:38;0;48;0;0
mtpg2b-06;11:55:09;1;40;1;1
mtpg2c-01;12:25:03;1;81;1;1
mtpg2c-01;12:31:09;1;87;1;1
mtpg2c-02;13:00:28;1;109;1;1
mtpg2c-04;11:56:54;1;46;1;1
mtpg2c-04;12:21:24;1;70;1;1
mtpg2c-05;12:40:37;1;84;1;1
mtpg2c-05;12:49:53;1;94;1;1
mtpg2c-05;12:55:13;1;99;1;1
mtpg2c-06;12:39:14;1;88;1;1
mtpg3a-02;10:36:02;0;47;0;0
mtpg3a-03;10:37:33;0;49;0;1
mtpg3a-04;10:11:22;1;22;0;1
mtpg3a-04;10:24:44;1;35;0;1
mtpg3a-04;10:32:09;1;43;0;1
mtpg3b-01;9:57:36;1;19;1;1
mtpg3b-01;10:04:49;1;27;1;1
mtpg3b-02;10:16:06;1;38;1;1
mtpg3b-03;10:15:48;1;37;1;1
mtpg3b-04;10:02:15;1;23;1;1
mtpg3b-04;10:11:45;1;33;1;1
mtpg3c-01;10:30:16;1;4;1;1
mtpg3c-01;10:42:39;1;17;1;1
mtpg3c-02;10:49:21;1;23;1;1
mtpg3c-03;10:35:18;1;9;1;1
mtpg3c-03;10:42:40;1;17;1;1
mtpg3c-04;10:47:22;1;22;0;0
mtpg4a-01;19:05:42;0;71;0;0
mtpg4a-01;19:07:11;0;72;0;0
mtpg4a-02;19:00:09;0;65;0;0
mtpg4a-03;19:02:04;0;68;0;0
mtpg4a-04;18:59:20;1;66;0;0
mtpg4a-05;18:32:36;1;39;0;1
mtpg4a-05;18:38:23;1;45;1;1
mtpg4a-05;18:51:48;1;58;0;1
mtpg4a-06;18:57:48;0;64;0;0
mtpg4b-01;18:31:37;1;50;1;1
