Nombre;Compila;Puntocoma;PrimiMisspell;FaltaReturn;OutIncorrecto;VariableNoDeclarada;VariableNoIni;Llaves;ImportMal;ConstructorClaseIgual;VariableNoUsada;TokensExtra;Parentesis;RecursionInf ;FuncionNoDef;MalLlamadaFuncion;InputVacio;IndexOutOfBounds;VariableUsandoPrimi;TipoErroneo;LecturaInput;Accuracy;Difficulty;Cost;WellFormed;Validity;Experimentability;Quality
mtpg1b-01%13_16_29;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1
mtpg1b-02%13_19_52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1
mtpg1b-03%13_25_05;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg1b-04%13_26_50;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;1
mtpg2b-01%11_57_58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1
mtpg2b-02%12_04_57;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0
mtpg2b-04%11_53_53;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1
mtpg2b-05%12_03_38;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mtpg2b-06%11_55_09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1
mtpg3b-01%10_04_49;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;1
mtpg3b-02%10_16_06;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;1
mtpg3b-03%10_15_48;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;1
mtpg3b-04%10_11_45;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0
mtpg4b-01%18_33_15;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg4b-02%18_30_54;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg4b-03%18_31_29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
mtpg4b-04%18_30_23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1
mtpg4b-05%18_31_05;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1
mtpg4b-06%18_30_38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;1;0;1
